2021-10-27 18:34:28,978 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-27 18:34:29,189 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 52545
2021-10-27 18:34:29,482 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 18:34:29,482 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 18:37:36,765 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-27 18:37:37,158 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 53145
2021-10-27 18:38:00,210 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-27 18:38:00,514 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 53145
2021-10-27 18:38:00,883 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 18:38:00,883 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 18:38:24,342 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-27 18:38:24,489 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 53145
2021-10-27 18:38:24,811 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 18:38:24,811 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 18:38:46,811 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-27 18:38:46,959 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 53145
2021-10-27 18:38:47,240 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 18:38:47,240 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 18:39:05,642 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-27 18:39:05,980 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 53145
2021-10-27 18:39:06,019 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-27 18:39:06,142 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 53145
2021-10-27 18:39:06,546 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 18:39:06,546 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 23:51:53,869 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-27 23:51:54,161 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-27 23:51:54,214 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-27 23:51:54,350 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-27 23:51:55,053 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 23:51:55,053 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 23:52:34,170 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-27 23:52:34,384 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-27 23:52:34,427 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-27 23:52:34,565 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-27 23:52:35,079 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 23:52:35,079 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
